"StichtagDatJahr","QuarSort","QuarCd","QuarLang","AlterVSort","AlterVKurz","AlterV05Sort","AlterV05Kurz","AnzBestWir"
2015,71,071,"Fluntern",87,87,18,"85-89",22
2015,52,052,"Escher Wyss",76,76,16,"75-79",12
2015,74,074,"Witikon",78,78,16,"75-79",119
2015,73,073,"Hirslanden",84,84,17,"80-84",25
2015,41,041,"Werd",98,98,20,"95-99",1
2015,74,074,"Witikon",70,70,15,"70-74",131
2015,52,052,"Escher Wyss",83,83,17,"80-84",5
2015,72,072,"Hottingen",84,84,17,"80-84",60
2015,123,123,"Hirzenbach",74,74,15,"70-74",61
2015,24,024,"Enge",9,9,2,"5-9",68
2015,33,033,"Friesenberg",9,9,2,"5-9",159
2015,115,115,"Oerlikon",84,84,17,"80-84",84
2015,71,071,"Fluntern",83,83,17,"80-84",42
2015,12,012,"Hochschulen",90,90,19,"90-94",7
2015,83,083,"Weinegg",72,72,15,"70-74",46
2015,121,121,"Saatlen",83,83,17,"80-84",28
2015,122,122,"Schwamendingen-Mitte",94,94,19,"90-94",9
2015,73,073,"Hirslanden",94,94,19,"90-94",18
2015,92,092,"Altstetten",81,81,17,"80-84",185
2015,83,083,"Weinegg",96,96,20,"95-99",7
2015,34,034,"Sihlfeld",75,75,16,"75-79",81
2015,74,074,"Witikon",9,9,2,"5-9",96
2015,123,123,"Hirzenbach",94,94,19,"90-94",14
2015,73,073,"Hirslanden",70,70,15,"70-74",51
2015,81,081,"Seefeld",89,89,18,"85-89",9
2015,14,014,"City",71,71,15,"70-74",7
2015,21,021,"Wollishofen",87,87,18,"85-89",92
2015,121,121,"Saatlen",97,97,20,"95-99",2
2015,31,031,"Alt-Wiedikon",92,92,19,"90-94",26
2015,91,091,"Albisrieden",93,93,19,"90-94",32
2015,44,044,"Hard",78,78,16,"75-79",53
2015,61,061,"Unterstrass",89,89,18,"85-89",52
2015,111,111,"Affoltern",96,96,20,"95-99",3
2015,61,061,"Unterstrass",92,92,19,"90-94",28
2015,23,023,"Leimbach",84,84,17,"80-84",27
2015,115,115,"Oerlikon",95,95,20,"95-99",11
2015,82,082,"Mühlebach",86,86,18,"85-89",21
2015,123,123,"Hirzenbach",95,95,20,"95-99",10
2015,21,021,"Wollishofen",90,90,19,"90-94",59
2015,83,083,"Weinegg",99,99,20,"95-99",3
2015,119,119,"Seebach",91,91,19,"90-94",31
2015,92,092,"Altstetten",93,93,19,"90-94",38
2015,111,111,"Affoltern",73,73,15,"70-74",164
2015,111,111,"Affoltern",83,83,17,"80-84",116
2015,72,072,"Hottingen",77,77,16,"75-79",58
2015,101,101,"Höngg",92,92,19,"90-94",36
2015,101,101,"Höngg",96,96,20,"95-99",12
2015,101,101,"Höngg",97,97,20,"95-99",5
2015,33,033,"Friesenberg",78,78,16,"75-79",59
2015,115,115,"Oerlikon",93,93,19,"90-94",19
2015,72,072,"Hottingen",97,97,20,"95-99",5
2015,34,034,"Sihlfeld",86,86,18,"85-89",78
2015,92,092,"Altstetten",83,83,17,"80-84",149
2015,91,091,"Albisrieden",84,84,17,"80-84",140
