Datum;Zürich;Basel
01.01.2016 01:00;6.1;5.3
01.01.2016 02:00;5.9;5.4
01.01.2016 03:00;6.0;5.7
01.01.2016 04:00;6.2;5.9
01.01.2016 05:00;6.3;5.2
01.01.2016 06:00;6.5;4.0
01.01.2016 07:00;6.3;3.3
01.01.2016 08:00;6.0;2.8
01.01.2016 09:00;5.5;3.5
01.01.2016 10:00;5.8;2.3
01.01.2016 11:00;5.7;4.2
01.01.2016 12:00;5.1;4.6
01.01.2016 13:00;5.4;6.0
01.01.2016 14:00;5.9;6.9
01.01.2016 15:00;6.3;6.5
01.01.2016 16:00;5.8;5.7
01.01.2016 17:00;5.3;5.1
01.01.2016 18:00;5.1;5.3
01.01.2016 19:00;5.2;5.3
01.01.2016 20:00;5.3;5.4
01.01.2016 21:00;5.4;5.3
01.01.2016 22:00;5.2;5.2
01.01.2016 23:00;5.1;5.2
02.01.2016 00:00;5.0;5.3
02.01.2016 01:00;4.8;5.2
02.01.2016 02:00;5.0;5.1
02.01.2016 03:00;5.1;5.3
02.01.2016 04:00;5.3;5.3
02.01.2016 05:00;5.1;4.9
02.01.2016 06:00;5.0;4.7
02.01.2016 07:00;5.2;4.8
02.01.2016 08:00;4.9;4.8
02.01.2016 09:00;4.9;4.7
02.01.2016 10:00;5.0;4.8
02.01.2016 11:00;5.2;5.2
02.01.2016 12:00;5.3;5.4
02.01.2016 13:00;5.6;5.6
02.01.2016 14:00;5.7;5.7
02.01.2016 15:00;5.8;6.4
02.01.2016 16:00;6.1;6.6
02.01.2016 17:00;6.4;6.2
02.01.2016 18:00;6.0;6.0
02.01.2016 19:00;5.8;5.8
02.01.2016 20:00;6.0;5.6
02.01.2016 21:00;6.2;5.3
02.01.2016 22:00;6.1;4.7
02.01.2016 23:00;6.4;4.7
03.01.2016 00:00;6.4;4.7
03.01.2016 01:00;6.4;5.5
03.01.2016 02:00;6.4;5.4
03.01.2016 03:00;6.3;5.7
03.01.2016 04:00;6.3;5.0
03.01.2016 05:00;6.2;4.6
03.01.2016 06:00;6.2;4.9
03.01.2016 07:00;6.2;5.5
03.01.2016 08:00;6.0;4.8
03.01.2016 09:00;5.8;4.2
03.01.2016 10:00;5.8;4.2
03.01.2016 11:00;6.0;5.6
03.01.2016 12:00;6.0;6.1
03.01.2016 13:00;6.5;7.2
03.01.2016 14:00;7.0;7.6
03.01.2016 15:00;7.0;7.6
03.01.2016 16:00;6.6;7.2
03.01.2016 17:00;6.1;6.5
03.01.2016 18:00;5.8;6.1
03.01.2016 19:00;5.5;6.0
03.01.2016 20:00;5.2;5.9
03.01.2016 21:00;4.9;5.5
03.01.2016 22:00;4.8;5.4
03.01.2016 23:00;4.6;4.7
04.01.2016 00:00;4.6;4.6
04.01.2016 01:00;4.4;4.2
04.01.2016 02:00;3.5;3.9
04.01.2016 03:00;3.4;3.9
04.01.2016 04:00;3.6;4.0
04.01.2016 05:00;3.7;5.7
04.01.2016 06:00;4.0;6.6
04.01.2016 07:00;4.8;6.4
04.01.2016 08:00;5.8;5.3
04.01.2016 09:00;6.0;5.4
04.01.2016 10:00;4.2;5.6
04.01.2016 11:00;3.8;5.3
04.01.2016 12:00;4.7;5.5
04.01.2016 13:00;5.2;6.5
04.01.2016 14:00;5.6;7.1
04.01.2016 15:00;5.0;7.6
04.01.2016 16:00;5.6;7.6
04.01.2016 17:00;5.8;7.3
04.01.2016 18:00;6.1;6.7
04.01.2016 19:00;6.3;7.0
04.01.2016 20:00;6.2;5.9
04.01.2016 21:00;6.3;5.8
04.01.2016 22:00;4.2;4.7
04.01.2016 23:00;3.8;4.0
05.01.2016 00:00;3.7;4.1
05.01.2016 01:00;3.7;4.2
05.01.2016 02:00;3.9;3.9
05.01.2016 03:00;4.0;4.1
05.01.2016 04:00;4.0;4.2
05.01.2016 05:00;4.0;4.6
05.01.2016 06:00;4.2;4.7
05.01.2016 07:00;4.3;4.5
05.01.2016 08:00;4.7;4.5
05.01.2016 09:00;4.9;5.0
05.01.2016 10:00;5.5;5.3
05.01.2016 11:00;5.5;5.2
05.01.2016 12:00;6.8;5.7
05.01.2016 13:00;7.4;6.1
05.01.2016 14:00;8.1;6.8
05.01.2016 15:00;7.9;6.8
05.01.2016 16:00;7.9;7.0
05.01.2016 17:00;7.8;6.7
05.01.2016 18:00;6.7;6.7
05.01.2016 19:00;6.5;6.7
05.01.2016 20:00;6.0;6.1
05.01.2016 21:00;5.4;5.5
05.01.2016 22:00;5.9;5.3
05.01.2016 23:00;5.8;5.4
06.01.2016 00:00;6.1;5.0
06.01.2016 01:00;5.8;4.9
06.01.2016 02:00;5.8;4.2
06.01.2016 03:00;5.6;4.0
